Year,Business Type Code,Business Type Description,Total
2007,R,RELIGIOUS,4
2007,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,"1,555"
1992,P,LIMITED LIABILITY PARTNERSHIP,0
2000,A,LIMITED LIABILITY COMPANY,"23,784"
2011,L,LIMITED PARTNERSHIP,"1,181"
2001,A,LIMITED LIABILITY COMPANY,"24,807"
2017,P,LIMITED LIABILITY PARTNERSHIP,195
1997,L,LIMITED PARTNERSHIP,"1,686"
1998,N,NOT FOR PROFIT,"4,689"
1998,B,BUSINESS,"78,908"
2008,L,LIMITED PARTNERSHIP,"1,579"
1991,R,RELIGIOUS,17
1991,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,0
1999,N,NOT FOR PROFIT,"4,922"
2003,A,LIMITED LIABILITY COMPANY,"39,294"
1999,B,BUSINESS,"82,070"
2002,P,LIMITED LIABILITY PARTNERSHIP,528
2009,R,RELIGIOUS,9
2009,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,"1,634"
2014,P,LIMITED LIABILITY PARTNERSHIP,223
2010,C,COOPERATIVE,9
2004,C,COOPERATIVE,6
2016,R,RELIGIOUS,1
2016,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,"1,988"
1994,A,LIMITED LIABILITY COMPANY,"1,183"
2005,P,LIMITED LIABILITY PARTNERSHIP,421
2015,C,COOPERATIVE,4
2015,P,LIMITED LIABILITY PARTNERSHIP,230
2005,C,COOPERATIVE,5
2004,P,LIMITED LIABILITY PARTNERSHIP,442
2010,P,LIMITED LIABILITY PARTNERSHIP,279
2014,C,COOPERATIVE,8
2000,R,RELIGIOUS,13
2000,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,630
2002,C,COOPERATIVE,4
2012,N,NOT FOR PROFIT,"4,704"
2007,A,LIMITED LIABILITY COMPANY,"56,570"
2012,B,BUSINESS,"72,871"
1993,L,LIMITED PARTNERSHIP,"1,659"
2001,R,RELIGIOUS,8
2001,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,702
2013,L,LIMITED PARTNERSHIP,"1,148"
2009,A,LIMITED LIABILITY COMPANY,"50,134"
2006,L,LIMITED PARTNERSHIP,"1,735"
1994,R,RELIGIOUS,16
1994,S,PROFESSIONAL SERVICE LIMITED LIABILITY COMPANY,12
