County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,Latitude,FCC Issued,Longitude,FCC Accepted,Location Points
Albany,CDPHP Farmers' Market,"CDPHP prkg lot off Washington Ave., 500 Patroon Creek Blvd. Albany",500 Patroon Creek Bvld.,Albany,NY,12206,Randy Tryon,5186415611,http://www.cdphp.com,Thursday  11am-1:30pm,June 7-October 4,P/M,Y,N,42.68418,N,-73.80587,Y,"(42.68418, -73.80587)"
Albany,Colonie Farmers' Market at the Crossings,580 Albany Shaker Rd. Loudonville,580 Albany Shaker Rd,Colonie,NY,12211,Laura Archambault,5183301380,http://www.colonie.org,Saturday  9am-1pm,May 19-September 29,P/M,Y,N,42.71016,N,-73.78029,Y,"(42.71016, -73.78029)"
Albany,Constantine Farm Stand,566 Albany Shaker Rd.  Loudonville,566 Albany Shaker Road,Loudonville,NY,12211,Emily Wrieden,5184588294,http://www.constantinefarms.com,"Mon-Sat  8am-5pm, Sunday  9am-5pm",May 1-December 24,P/M/X,Y,N,42.71722,N,-73.78613,Y,"(42.71722, -73.78613)"
Albany,Cook Park Farmers' Market,Sharon Drive Pavilion Cook Park Colonie,3 Sharon drive,Colonie,NY,12205,Krysta Dennis,5186692636,http://www.cookparkfarmersmarket.com,Thursday  4pm-7pm,May 16-October 3,P/M,Y,N,42.70742,N,-73.83453,Y,"(42.70742, -73.83453)"
Albany,Delmar Saturday Farmers' Market,"Bethlehem Central Middle School, 332 Kenwood Avenue",332 Kenwood Avenue,Delmar,NY,12054,Ken Myer,5184871991,http://www.delmarmarket.org,Saturday  9am-1pm,May 5-November 24,P/M,Y,Y,42.6212,Y,-73.82577,Y,"(42.6212, -73.82577)"
Albany,Delmar Tuesday Farmers' Market,"First United Methodist Church Lot, 428 Kenwood Ave.",428 Kenwood Ave,Delmar,NY,12054,Richard Rugen,5188634711,https://www.facebook.com/TuesdayDelmarFarmersMarket/,Tuesday  2:30pm-6pm,May 1-November 20,P/M,Y,N,42.62298,N,-73.83623,Y,"(42.62298, -73.83623)"
Albany,Empire State Plaza Friday Farmers' Market,Empire State Plaza,170 State St,Albany,NY,12210,Jason Rumpf,5184732982,http://www.ogs.ny.gov,Friday  10am-2pm,March 23-October 12,P/M,Y,Y,42.65162,Y,-73.75692,Y,"(42.65162, -73.75692)"
Albany,Lansing Farm Market,"204 Lisha Kill Rd, Hamlet of Lisha Kill",204 Lisha Kill,Niskayuna,NY,12309,Al Lansing,5184640889,http://www.lansingfarmmarket.com,"Mon/Wed/Fri  9am-7pm, Tue/Thu  9am-6pm, Sunday  9am-5pm",May 1-November 22,P/M,Y,N,42.7629,N,-73.85447,Y,"(42.7629, -73.85447)"
Albany,New Covenant Farmers' Market,"New Covenant Presbyterian Church, 916 Western Ave. Albany",916 Western Ave,Albany,NY,12203,Katy Stenta,5184828063,https://www.facebook.com/NewCovenantFarmersMarket/,Tuesday  3pm-6pm,May 22-October 2,P/M,Y,N,42.67228,N,-73.81026,Y,"(42.67228, -73.81026)"
Albany,The Gade Farm Farm Stand,2479 Western Avenue Altamont,2479 Western Avenue,Altamont,NY,12009,Amy Castillo,5188698019,http://www.gadefarm.com,"Saturday  9am-6pm, Sunday  9am-5pm, Mon-Fri  9am-6:30pm",March 23-December 24,P/M/X,Y,N,42.71055,N,-73.92593,Y,"(42.71055, -73.92593)"
Allegany,Belmont Farmers' Market,5429 NYS Route 19 N,5429 NYS Route 19 N,Belmont,NY,14813,Phyllis Couture,7169423710,,Thursday  11am-5pm,May 24-October 25,P/M,Y,Y,42.2356,N,-78.05212,Y,"(42.2356, -78.05212)"
Allegany,Riverside Farms Farm Market,3314 Riverside Drive  Scio,3314 Riverside Drive,Scio,NY,14895,Jan Ruprecht,5858086405,,"Mon-Thu  11am-6pm, Fri/Sat  10am-7pm, Sunday  12pm-6pm",April 14-December 30,P/M/X,Y,N,42.14093,N,-77.97553,Y,"(42.14093, -77.97553)"
Allegany,Wagoner Bees & Produce Farm Stand,11137 Wayne Rd.  Fillmore,11137 Wayne Rd.,Fillmore,ny,14735,Terry Wagoner,5856108836,http://facebook.com/wagonerbees,"Sun/Tue  12pm-5pm, Mon/Fri  1pm-5pm, Wed  10am-5pm, Sat  12pm-6pm",May 11-November 30,P/M,Y,Y,42.48057,N,-78.09042,Y,"(42.48057, -78.09042)"
Bronx,BronxWorks Farm Stand,1130 Grand Concourse,1130 Grand Concourse,Bronx,NY,10456,Carolina Espinosa,7185083098,,Thursday  2pm-6pm,April 4-November 15,P/M,Y,N,40.83256,N,-73.9192,Y,"(40.83256, -73.9192)"
Bronx,Healthy Choice Farmers' Market Farm Stand,1434 Longfellow Ave. Bronx,1434 Longfellow Ave.,Bronx,NY,10459,Sandy Helms,7185893060,,Thu  11:30am-1:00pm,April 12-August 9,P/M,Y,N,40.830746,N,-73.886882,Y,"(40.830746, -73.886882)"
Bronx,Wholesale Greenmarket,290 Halleck St. at Viele Ave.,Halleck Street and Viele Avenue,Bronx,NY,10474,Pam Knepper,2127887900,https://www.grownyc.org/wholesale,Tue-Sat  2am-8am,April 11-November 17,P/M,Y,N,40.80752,N,-73.87989,Y,"(40.80752, -73.87989)"
Broome,Vestal Farmers' Market,"Library parking lot, near museum, 320 Vestal Pkwy East (Rt. 434)",320 Vestal Pkwy East,Vestal,NY,13850,MaKenzie Darrow,6072065742,https://www.facebook.com/VestalFarmersMarket,Sat/Wed  9am-1pm,May 26-November 21,P/M,Y,N,42.087322,N,-76.045678,Y,"(42.087322, -76.045678)"
Cattaraugus,Miller's Farm Market,1685 Olean Portville Rd. Olean,1685 Olean Portville Rd.,Olean,NY,14760,Keith Miller,7163722521,,"Mon-Sat  9am-6pm, Sunday  9am-5pm",April-December,P/M/X,Y,N,42.071439,N,-78.39814,Y,"(42.071439, -78.39814)"
Cattaraugus,Olean Southern Tier Farmers' Market,Tractor Supply Store 1900 Constitution Ave.,1900 Constitution Ave,Olean,NY,14760,Phyllis Couture,7169423710,,Friday  2pm-6pm,May 25-October 26,P/M,Y,Y,42.08294,N,-78.45503,Y,"(42.08294, -78.45503)"
Cattaraugus,R.E.A.P. Olean Farmers' Market,Olean Mall  400 N. Union St.,400 N. Union St.,Olean,NY,14760,Geoff Buckner,7169337100,http://www.oleanfarmersmarket.com,Saturday  8am-1pm,May 12-October 27,P/M,Y,Y,42.08329,N,-78.42987,Y,"(42.08329, -78.42987)"
Cattaraugus,Salamanca Farmers' Market,12 Park Ave. Jefferson Park,12 Park Ave,Salamanca,NY,14779,Phyllis Couture,7169423710,,Tuesday  11am-5pm,May 22-October 30,P/M,Y,Y,42.15497,N,-78.71739,Y,"(42.15497, -78.71739)"
