County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,Latitude,FCC Issued,Longitude,FCC Accepted,Location Points
Albany,Altamont Orchards Farm Stand,6654 Dunnsville Road Altamont,6654 Dunnsville Road,Altamont,NY,12009,Jim Abbruzzese,5188616515,http://www.altamontorchards.com,Daily  9:30am-5pm,Sept 1-Dec 23,M/X,Y,N,42.7212,N,-74.01691,Y,"(42.7212, -74.01691)"
Albany,Constantine Farm Stand,566 Albany Shaker Rd.  Loudonville,566 Albany Shaker Road,Loudonville,NY,12211,Emily Wrieden,5184588294,http://www.constantinefarms.com,"Mon-Sat  8am-5pm, Sunday  9am-5pm",May 1-December 24,P/M/X,Y,N,42.71722,N,-73.78613,Y,"(42.71722, -73.78613)"
Albany,Downtown Albany Farmers' Market,SUNY Plaza 353 Broadway & State St (Winter Market-Inside SUNY Bldg),353 Broadway,Albany,NY,12207,Frank Stanton,5187568228,http://www.downtownalbany.org/visit/downtown-albany-farmers-market,Thursday  11am-2pm,Year-round,YR,Y,N,42.64847,N,-73.75012,Y,"(42.64847, -73.75012)"
Albany,Empire State Plaza Wed Farmers' Market,"Empire State Plaza, In Front of Capitol, (Winter inside South Concourse)",170 State St,Albany,NY,12210,Jason Rumpf,5184732982,http://www.ogs.ny.gov,Wednesday  10am-2pm,Year-round,YR,Y,Y,42.65068,Y,-73.758,Y,"(42.65068, -73.758)"
Albany,The Gade Farm Farm Stand,2479 Western Avenue Altamont,2479 Western Avenue,Altamont,NY,12009,Amy Castillo,5188698019,http://www.gadefarm.com,"Saturday  9am-6pm, Sunday  9am-5pm, Mon-Fri  9am-6:30pm",March 23-December 24,P/M/X,Y,N,42.71055,N,-73.92593,Y,"(42.71055, -73.92593)"
Albany,Veggie Mobile Sprout-Robert Whalen,305 Colonie Street Albany,305 Colonie Street,Albany,NY,12210,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 11:15am-12pm,Year-round,YR,Y,Y,42.66338,Y,-73.75595,Y,"(42.66338, -73.75595)"
Albany,Veggie Mobile Sprout-St. Sophia Church,440 Whitehall Rd. Albany,440 Whitehall Road,Albany,NY,12208,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 12:40pm-1pm,Year-round,YR,Y,Y,42.65197,Y,-73.81477,Y,"(42.65197, -73.81477)"
Albany,Veggie Mobile Sprout-St. Sophia/Holy Wisdom,426 Whitehall Road Albany,440 Whitehall Road,Albany,NY,12208,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 12:15pm-1pm,Year-round,YR,Y,Y,42.65244,Y,-73.81416,Y,"(42.65244, -73.81416)"
Albany,Veggie Mobile-Arbor Hill/Oak Street Park,Oak Street & Second Street Albany,Second Street & Oak Street,Albany,NY,12210,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 12:15pm-1pm,Year-round,YR,Y,Y,42.6629,Y,-73.76094,Y,"(42.6629, -73.76094)"
Albany,Veggie Mobile-Center for Disability,700 South Pearl Street Albany,700 South Pearl Street,Albany,NY,12202,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 12:15pm-1pm,Year-round,YR,Y,Y,42.63003,Y,-73.76585,Y,"(42.63003, -73.76585)"
Albany,Veggie Mobile-Cohoes Senior Ctr,100 Cayuga Plaza Cohoes,100 Cayuga Plaza,Cohoes,NY,12047,Audrey Bridge,5182748685,http://www.capitalroots.org,Wednesday 3pm-4pm,Year-round,YR,Y,Y,42.77712,Y,-73.70101,Y,"(42.77712, -73.70101)"
Albany,Veggie Mobile-Creighton Storey Homes,158 3rd Street Albany,158 3rd Street,Albany,NY,12202,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 5pm-5:45pm,Year-round,YR,Y,Y,42.66205,Y,-73.7578,Y,"(42.66205, -73.7578)"
