OBJECTID_1,OBJECTID,Id,RouteNum,RouteName,Color,ServType,PageOrient,Dest_1,Dest_2,Dest_3,GlobalID,created_us,created_da,last_edite,last_edi_1,Shape_STLe,Shapelen
1,1,0,8,W Bellfort,Blue,Local,L,Fannin South TC,W Bellfort P&R, ,{2D7E960F-257E-4DDC-BB7F-361AABA1D356}, ,,sn01,2016-06-07T00:00:00.000Z,63841.9988539,63841.9988538898
2,4,0,2,Bellaire,Red,Local,L,TMC TC,Mission Bend TC, ,{4CD17E17-F9F7-4968-9E39-71FABD28E06B}, ,,sn01,2016-06-14T00:00:00.000Z,81252.4035904,81252.4035903564
3,9,0,97,Settegast,Green,Local,L,Kashmere TC,Mesa TC, ,{B1B36C9A-5931-4EDE-96AD-55F03D66D86A}, ,,sn01,2016-06-10T00:00:00.000Z,103215.377455,103215.377454465
4,12,0,75,Eldridge,Green,Local,P,Addicks P&R,West Oaks Mall, ,{84F33FC5-A683-4CF6-8193-2CF7C69037D0}, ,,sn01,2016-06-13T00:00:00.000Z,80980.84741,80980.8474109579
5,13,0,67,Dairy Ashford,Green,Local,P,Bissonnnet St,Memorial Dr, ,{C2095555-C039-49BE-A5D2-464091C04ABE}, ,,sn01,2016-05-20T00:00:00.000Z,43628.5942,43628.5941990553
6,14,0,161,Wilcrest Express,Blue,Local,L,Downtown TC,W Bellfort P&R, ,{5228BB37-1C55-455D-A245-325E7DD4EA7A}, ,,sn01,2016-07-07T00:00:00.000Z,202344.207124,202344.207124097
7,16,0,63,Fondren,Red,Local,P,Westheimer Rd,Missouri City P&R, ,{3F31CF7B-9B5E-4591-8C05-A64C021EE530}, ,,sn01,2016-06-14T00:00:00.000Z,53748.7763064,53748.7763063807
8,17,0,47,Hillcroft,Blue,Local,P,Northwest TC,Airport Blvd, ,{F794E748-4FDD-4BAA-8191-CC931BD01EF0}, ,,sn01,2016-05-25T00:00:00.000Z,92414.0881379,92414.088137877
9,20,0,11,Almeda Lyons,Green,Local,P,Gellhorn & 610,Hiram Clarke TC, ,{A51244A2-199A-411D-A323-B18BAD99947B}, ,,sn01,2016-06-20T00:00:00.000Z,39022.3904484,39022.3904484063
10,22,0,76,Evergreen,Green,Local,P,Howard Dr,Magnolia Park TC, ,{6034804A-339E-4748-8C68-26189E6C68C7}, ,,sn01,2016-03-23T00:00:00.000Z,98233.8495848,98233.8495848874
11,24,0,98,Briargate,Green,Local,L,Missouri City P&R,Hiram Clarke TC, ,{69484B42-610A-4AA9-9C99-E98F9C58AE7E}, ,,sn01,2016-06-09T00:00:00.000Z,41839.4889229,41839.4889228729
12,26,0,58,Hammerly,Green,Local,L,Northwest TC,West Belt, ,{8B6B76F8-9882-4091-BAF5-70ADA804E9F4}, ,,sn01,2016-04-27T00:00:00.000Z,61914.4549114,61914.4549113477
13,28,0,86,FM 1960 Imperial Valley,Blue,Local,L,Willowbrook,Greenspoint TC, ,{84CD6933-A225-471F-8C4B-45BD2FCC4A87}, ,,sn01,2016-06-13T00:00:00.000Z,102100.32259,102100.32258985
14,29,0,99,Ella FM 1960,Green,Local,P,N Shepherd P&R,Aldine Westfield, ,{0FFEED5E-C545-4B57-91CC-450032138DC9}, ,,sn01,2016-06-15T00:00:00.000Z,147913.06062,147913.060619964
15,30,0,102,Bush IAH Express,Blue,Express,P,Downtown,Terminal C, ,{2D97E79E-6A45-4F01-A029-8CE9513F1273}, ,,sn01,2016-06-10T00:00:00.000Z,343260.376384,343260.37638405
16,32,0,160,Memorial City Express,Red,Express,L,Downtown TC,Memorial City, ,{96D2B13D-2E9C-4B0E-A393-3DF35AB916A2}, ,,sn01,2016-07-07T00:00:00.000Z,142724.765675,142724.76567527
17,33,0,162,Memorial Express,Green,Express,L,Downtown TC,Addicks P&R, ,{B37408E8-8D4B-4ABA-A2DC-E5039EAD15DF}, ,,sn01,2016-07-07T00:00:00.000Z,181928.40403,181928.404029223
18,34,0,78,Wayside,Green,Shuttle,P,Brock Park Dr,Denver Harbor TC, ,{8BEF2457-3CBB-47E5-90FB-5D0EA14F4787}, ,,sn01,2016-05-05T00:00:00.000Z,81019.4888956,81019.4888955836
19,36,0,23,Clay W 43rd,Green,Local,L,Northline TC,Hempstead Hwy, ,{22ACD133-ABB5-40D1-8561-E79051116FDB}, ,,sn01,2016-06-09T00:00:00.000Z,58593.5956363,58593.5956363178
20,37,0,14,Hiram Clarke,Blue,Local,P,TMC TC,Hiram Clarke TC, ,{5BD5AE09-4C6F-47D4-91A0-8587D0751C6C}, ,,sn01,2016-06-08T00:00:00.000Z,68030.73957,68030.7395730317
