X,Y,OBJECTID_12,OBJECTID_1,OBJECTID,DIR_P,STREET,DIR_S,STYPE,X1_DIR_P,X1_STRT,X1_DIR_S,X1_STYPE,X2_DIR_P,X2_STRT,X2_DIR_S,X2_STYPE,TR_DIR,SPOT,ZIP,BSI_DIST,BSI_ID,GPS_STAT,STATUS,IN_SERVICE,BLOCK,SHELTER,WITH_SHLTR,SH_BENCH,SH_QUAN,BENCH,WITH_BNCH,BN_QUAN,TR_CAN,WITH_TCAN,TR_QUAN,CURR_EDIT,COMMENT,SOURCE,CHG_PERS,ATT_DATE,GPS_DATE,SRVD_RTS,STOPABBR,ONSTREET,ATSTREET,STOPNAME,POINT_X,POINT_Y,LON,LAT,TO_DELETE,FAREZONEID,WITH_KIOSK,RT_LAYOVER,ADAComp,SRVD_RTS_O,GlobalID,created_us,created_da,last_edite,last_edi_1
-95.395810620339105,29.753330833328551,2001,3314,3314,W,GRAY, ,ST, ,HAZEL, ,ST, , , , ,W,NS,77019,21,3322,Y,A,1, , ,0, ,0, ,0,0, ,0,0,0,Updated location with GPS  moved 6 ft N,FV20120301,spn,2012-03-01T00:00:00.000Z,2012-03-01T00:00:00.000Z,- 32 -,GRAHAZWN,GRAY ST,HAZEL ST,GRAY ST @ HAZEL ST,3111931.91608036,13839074.4571915,0,0,N, , , , ,- 3 56 -,{1C4A374A-DDC7-48F7-AB2A-6D610E7B25BA}, ,, ,
-95.39225031127944,29.751869193519148,2002,3316,3316, ,MONTROSE, ,BLVD, ,BOMAR, ,ST, , , , ,S,NS,77006,21,3324,Y,A,1, , ,0, ,0, ,0,0, ,0,0,0,Updated location by aerial photo in GIS  moved 7ft NW,Google Maps Street View,spn,2016-01-27T00:00:00.000Z,2016-01-27T00:00:00.000Z,- 56 -,MONBOMSN,MONTROSE BLVD,BOMAR ST,MONTROSE BLVD @ BOMAR ST,3113083.00006428,13838567.9998711,0,0,N, , , , ,- 56 -,{CAC50A69-472B-451E-8712-160459E48F4B}, ,,sn01,2016-02-22T00:00:00.000Z
-95.392207342858711,29.7499575699192,2003,3317,3317, ,MONTROSE, ,BLVD,W,DREW, , , , , , ,S,NS,77006,21,3325,Y,A,1, , ,0, ,0,C,1,1, ,0,0,0,Updated location by aerial photo in GIS  moved 5ft W  added C bench,Google Maps Street View,spn,2016-01-27T00:00:00.000Z,2016-01-27T00:00:00.000Z,- 56 -,MONDRESN,MONTROSE BLVD,DREW,MONTROSE BLVD @ DREW,3113115.99999827,13837883.9999268,0,0,N, , , , ,- 56 -,{8DA0DE81-352F-4DA0-8A24-A36B52325E39}, ,,sn01,2016-02-22T00:00:00.000Z
-95.392156304984326,29.748304920762902,2004,3318,3318, ,MONTROSE, ,BLVD, ,FAIRVIEW, ,ST, , , , ,S,NS,77006,21,3326,Y,A,1, , ,0, ,0, ,0,0, ,0,0,0,Updated location by aerial photo in GIS  moved 4ft W,Google Maps Street View,spn,2016-01-27T00:00:00.000Z,2016-01-27T00:00:00.000Z,- 56 -,MONFAISN,MONTROSE BLVD,FAIRVIEW ST,MONTROSE BLVD @ FAIRVIEW ST,3113151.74992678,13837279.0001525,0,0,N, , , , ,- 56 -,{1C9B4E6B-084A-4E51-90B8-63A3178DE7BF}, ,,sn01,2016-02-22T00:00:00.000Z
-95.392017344497631,29.746378535899321,2005,3319,3319, ,MONTROSE, ,BLVD, ,MISSOURI, ,ST, , , , ,S,NS,77006,21,3327,Y,A,1, , ,0, ,0, ,0,0, ,0,0,0,Updated location by aerial photo in GIS  moved 16ft SW,Google Maps Street View,spn,2016-01-27T00:00:00.000Z,2016-01-27T00:00:00.000Z,- 56 -,MONMISSN,MONTROSE BLVD,MISSOURI ST,MONTROSE BLVD @ MISSOURI ST,3113221.25011586,13836591.9998861,0,0,N, , , , ,- 56 -,{F71DF17D-CC1B-4598-9C5E-823F9B9C97B8}, ,,sn01,2016-02-22T00:00:00.000Z
-95.391268824047032,29.737106451018672,2006,3322,3322, ,MONTROSE, ,BLVD, ,BRANARD, ,ST, , , , ,S,NS,77006,21,3330,Y,A,1, , ,0, ,0, ,0,0, ,0,0,0,Updated location by aerial photo in GIS  moved 8ft SW,Google Maps Street View,spn,2016-01-27T00:00:00.000Z,2016-01-27T00:00:00.000Z,- 56 -,MONBRASN,MONTROSE BLVD,BRANARD ST,MONTROSE BLVD @ BRANARD ST,3113560.25009403,13833222.0000644,0,0,N, , , , ,- 56 -,{9CEB34E7-289F-4C21-9DB0-168544D6E787}, ,,sn01,2016-02-22T00:00:00.000Z
-95.391227301614322,29.7354381202335,2007,3323,3323, ,MONTROSE, ,BLVD, ,COLQUITT, , , , , , ,S,NS,77006,21,3331,Y,A,1, ,2,1,W,1, ,0,0,C,1,1,0,Renstl'd 1 T-2 Shltr w/ W-Bnch,AA Log 121404,JL,2005-09-02T00:00:00.000Z,1999-02-04T00:00:00.000Z,- 56 -,MONCOLSN,MONTROSE BLVD,COLQUITT,MONTROSE BLVD @ COLQUITT,3113586.25004202,13832615.9999641,0,0,N, , , , ,- 56 -,{06394767-E770-45E6-ABAC-11A073B209ED}, ,, ,
-95.391212013374826,29.734689344506112,2008,3324,3324, ,MONTROSE, ,BLVD, ,RICHMOND, ,AVE, , , , ,S,NS,77006,21,3332,Y,A,1, , ,0, ,0, ,0,0, ,0,0,0,Verified location with GPS  not moved,FV20100927,spn,2010-09-27T00:00:00.000Z,2010-09-27T00:00:00.000Z,- 56 -,MONRICSN,MONTROSE BLVD,RICHMOND AVE,MONTROSE BLVD @ RICHMOND AVE,3113599.50001553,13832343.9998519,0,0,N, , , , ,- 56 -,{637E549C-041A-491D-AE50-F34569A2D980}, ,, ,
-95.3910436046298,29.734214328997183,2009,3325,3325, ,MONTROSE, ,BLVD, ,RICHMOND, ,AVE, , , , ,N,NS,77006,21,3333,Y,A,1, , ,0, ,0, ,0,0, ,0,0,0,Verified location with GPS  not moved,FV20100927,spn,2010-09-27T00:00:00.000Z,2010-09-27T00:00:00.000Z,- 56 -,MONRICNN,MONTROSE BLVD,RICHMOND AVE,MONTROSE BLVD @ RICHMOND AVE,3113658.24989803,13832172.9998659,0,0,N, , , , ,- 56 -,{41AC8DAE-0E2B-4C23-B32B-65FB56E4C026}, ,, ,
-95.391059599851616,29.735232755286731,2010,3326,3326, ,MONTROSE, ,BLVD, ,COLQUITT, , , , , , ,N,NS,77006,21,3334,Y,A,1, , ,0, ,0, ,0,0,M,1,1,0,Removed type 2 shelter,Shelt Log 20060412,spn,2006-07-21T00:00:00.000Z,1999-02-04T00:00:00.000Z,- 56 -,MONCOLNN,MONTROSE BLVD,COLQUITT,MONTROSE BLVD @ COLQUITT,3113641.74993102,13832543.0001101,0,0,N, , , , ,- 56 -,{DF33369D-7488-4981-84AE-070FD1C038A8}, ,, ,
