X,Y,OBJECTID,PRKNRD_ID,NAME1,NAME2,ADDRESS,ZIP_CODE,OWNER,TOTAL_ACRE,B_BAYS,CANOPY,SEAT,KIOSK,PSPACES,BIKERACK,TEL,RESTRM,SECBOOTH,COMMENTS,ROUTES_SER,BusStopID,FareZone,OBJECTID_1,KEYMAP,GlobalID,created_us,created_da,last_edite,last_edi_1
-95.638339610465835,29.787461131709069,1,12,Addicks,ADDICKS,14230 OLD KATY RD,77079,METRO,30.3,4,Y,Y,Y,1999,Y,Y,Y,Y, ,- 75 162 228 229 298 -,88,3,1,488A,{32112142-138D-4EBA-B703-1164C1495E6F}, ,,vw08,2016-02-02T00:00:00.000Z
-95.2631243960777,30.019127741108335,2,3,Townsen,TOWNSEN,EASTEX FREEWAY & TOWNSEN BL,77338,TXDOT ROW,20,4,Y,Y,Y,996,Y,Y,Y,Y, ,- 256 257 259 -,10706,3,2,335R,{F66ED3D8-CB46-4BE1-A88A-0BD90847E0FE}, ,,vw08,2016-02-02T00:00:00.000Z
-95.537152733048202,29.720353843702679,3,6,Gessner,GESSNER,9925 WESTPARK DR,77036,METRO,8.8,4,Y,Y,Y,415,Y,Y,Y,Y,PERM_COST_(M) EXCLUDES PRELIMINARY ENGINEERING,- 151 -,85,2,3,530A,{EE79C846-41A7-4CCC-9AB5-819F854ED66D}, ,,vw08,2016-02-02T00:00:00.000Z
-95.507121640210215,29.62184866071701,4,9,Missouri City,MISSOURI CITY,13849 FONDREN,77085,METRO,7.5,2,Y,Y,Y,779,Y,Y,Y,Y, ,- 63 98 170 -,97,1,4,570R,{8D1AE88A-2075-42AE-9308-851CCFFC3B60}, ,,vw08,2016-02-02T00:00:00.000Z
-95.55984379753302,29.655211181570813,5,10,W Bellfort,W BELLFORT,11415 ROARK RD,77031,METRO,19.8,4,Y,Y,Y,1208,Y,Y,Y,Y, ,- 8 161 262 265 269 292 -,99,2,5,569C,{5D043081-B4BD-46FC-9A1B-125C884ED8B9}, ,,vw08,2016-02-02T00:00:00.000Z
-95.54828678802339,29.67218181626923,6,11,Westwood,WESTWOOD,9990 SOUTWEST FREEWAY,77036,METRO,12.3,3,Y,Y,Y,826,Y,Y,Y,Y,EXP1 = IMPROVED ACCESS AND T-RAMP TO HOV,- 152 262 269 292 -,66,2,6,529V,{E4904F86-BB67-43EC-BE07-C4751ACF20DD}, ,,vw08,2016-02-02T00:00:00.000Z
-95.744433169763937,29.774026081122848,7,13,Kingsland,KINGSLAND,21669 KINGSLAND BLVD,77450,METRO,12.8,2,Y,Y,Y,1306,Y,Y,Y,Y, ,- 221 229 298 -,86,4,7,486E,{47626C2B-8B55-4456-AF83-8444AF2E36EE}, ,,vw08,2016-02-02T00:00:00.000Z
-95.553171996517804,29.86978719552074,8,18,W Little York,W LITTLE YORK,15010 HEMPSTEAD,77041,METRO,16.2,4,Y,Y,Y,1102,Y,Y,Y,Y, ,- 214 216 219 -,93,2,9,409V,{D39748F2-99BC-447D-8113-D84F32BA5685}, ,,vw08,2016-02-02T00:00:00.000Z
-95.499347424802565,29.927809757526362,9,19,Seton Lake,SETON LAKE,7555 SETON LAKE,77086,METRO,10.5,2,Y,Y,Y,1286,Y,Y,Y,Y, ,- 44 212 -,98,3,10,371W,{94C15B56-1053-4F56-B8F4-F57BE0F38867}, ,,vw08,2016-02-02T00:00:00.000Z
-95.217511762313819,29.784361066296711,10,20,Maxey Rd,MAXEY,515 MAXEY RD,77013,METRO,12.9,2,Y,Y,Y,1129,Y,Y,Y,Y, ,- 137 236 -,64,1,11,496C,{34823EDB-9773-4C15-B5C7-33C10A89F059}, ,, ,
-95.208283810055917,29.61379157545581,11,21,South Point,SOUTH POINT,I 45 & KURLAND DR,77034,TXDOT ROW,11.3,1,Y,Y,N,766,N,Y,Y,Y, ,- 297 -,10280,2,12,576U,{255752BE-65A4-4634-8B2D-E19986A8DDDC}, ,, ,
-95.216936829412049,29.609891515316363,12,22,Fuqua,FUQUA,SABO RD & SAGETREE DR,77089,TXDOT ROW,24.4,2,Y,Y,Y,938,Y,Y,Y,Y, ,- 244 247 249 -,81,2,13,576U,{1A74A0A0-027B-48D8-8B7D-D77AAAC90194}, ,, ,
-95.254624688615053,29.663955635786134,13,23,Monroe,MONROE,8833 1/2 GULF FREEWAY,77017,TXDOT ROW,17,4,Y,Y,Y,904,Y,Y,Y,Y,PERM_COST_M = METRO COSTS ONLY,- 244 247 249 297 -,82,1,14,535Z,{83B377EA-633C-4E5F-85E5-332E82290744}, ,,vw08,2016-02-02T00:00:00.000Z
-95.124074940541746,29.552897036515464,14,24,Bay Area,BAY AREA,801 BAY AREA BLVD,77062,METRO,11.7,2,Y,Y,Y,1155,Y,Y,Y,Y, ,- 246 249 -,89,4,15,618T,{8DF3E8FF-090C-427B-B16D-79C4E0DA5EDB}, ,, ,
