Municipality,Annual Average Daily Traffic,Annual Average Daily Traffic North/East (See Direction Field),Annual Average Daily Traffic South/West (See Direction Field)
South Amboy City,"27,731","20,250","20,206"
Pilesgrove Twp,"133,642","67,034","66,608"
Fairfield Boro,"361,364","458,448","221,719"
Readington Twp,"1,428,002","685,967","686,336"
Pennsville Twp,"256,417","130,640","130,733"
Hackensack City,"1,126,591","654,084","633,166"
Bay Head Boro,"19,109","9,271","9,838"
Commercial Twp,"47,777","23,132","24,645"
Neptune Twp,"1,080,432","552,904","560,031"
Cape May Point Boro,"6,747","3,408","3,339"
Park Ridge Boro,"26,406","13,059","13,347"
Lyndhurst Twp,"14,368","7,531","6,837"
Randolph Twp,"209,903","117,513","125,280"
Wantage Twp,"330,891","167,180","165,909"
Hanover Twp,"764,160","663,941","406,565"
Old Tappan Boro,"17,607","8,918","8,689"
Lebanon Twp,"78,074","48,625","39,035"
Carneys Point Twp,"453,960","355,301","246,077"
Hardwick Twp,"101,712","52,199","49,513"
Bordentown Twp,"1,054,334","602,273","539,503"
Delanco Twp,"27,100","14,062","13,038"
Tabernacle Twp,"54,300","26,889","27,411"
West Long Branch Boro,"183,798","89,420","94,378"
Beverly City,"19,551","10,337","9,308"
Hainesport Twp,"269,832","131,124","138,708"
Woodbury Heights Boro,"104,478","52,257","52,221"
Little Silver Boro,"131,950","66,929","65,021"
Clayton Boro,"320,670","160,689","159,981"
Atlantic Highlands Boro,"60,603","29,083","31,520"
Laurel Springs Boro,"3,022","1,572","1,450"
Lacey Twp,"589,358","275,858","273,955"
Madison Boro,"158,375","69,286","66,268"
Hawthorne Boro,"362,500","192,623","191,611"
Summit City,"1,122,734","482,775","538,359"
Downe Twp,"24,610","12,299","12,311"
Denville Twp,"687,044","519,159","349,735"
Ogdensburg Boro,"23,844","11,909","11,935"
Stillwater Twp,"33,247","17,736","15,512"
Clementon Boro,"61,698","30,703","30,995"
Prospect Park Boro,"8,928","4,746","4,182"
Holmdel Twp,"372,790","257,493","246,128"
Lavallette Boro,"22,234","11,281","10,953"
Morris Twp,"695,998","355,784","359,123"
Elsinboro Twp,"6,786","3,364","3,422"
Farmingdale Boro,"21,973","10,981","10,992"
Teterboro Boro,"475,716","224,683","268,396"
Livingston Twp,"404,249","209,704","504,184"
Shrewsbury Boro,"88,572","47,879","40,693"
Clifton City,"2,166,084","1,232,708","1,191,960"
Englewood City,"583,377","388,720","318,767"
Chesterfield Twp,"65,435","31,463","33,972"
Harding Twp,"239,461","463,640","357,699"
East Newark Boro,"6,333","3,072","3,261"
Sandyston Twp,"148,281","74,931","73,350"
Springfield Twp,"2,147,107","1,177,855","1,198,276"
