Status,As of Date,Federal Agency,Funding Source,Program Description,Project,Project Description,Project Type,County,Municipality,Vendor,Applicant,Route,Direction,Mile Post Start,Mile Post End,Location,Damage Description ,Structure #,Completion Date,FHWA Obligated Amount,Labor Amount,Equipment Amount,Material Amount,Total Cost,Awaiting FHWA Amount,FHWA Reimbursement Amount,Agency Cost,Obligated Amount,Disbursed Amount
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-ATL1,Repair and replacement of electrical and mechanical components of bridge., ,ATLANTIC,VENTNOR CITY,Atlantic County,LOCAL AID,629,NB & SB,3.46,3.46,"Dorsety Avenue Bridge, County Route 629 @ MP 3.46",Damage to electrical and mechanical components of bridge., ,,65706.42,,,,65706.42,,65706.42,0.00,65706.42,65706.42
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-ATL10,Repair to traffic signals, ,ATLANTIC,COUNTYWIDE,Atlantic County,LOCAL AID,Various,Various,Various,Various,Various. County-wide traffic signal damage.,Damage to traffic signals, ,,13000.00,13000.00,13000.00,13000.00,13000.00,,13000.00,0.00,13000.00,13000.00
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-ATL11,Repair to traffic signal equipment and signs at various intersections., ,ATLANTIC,COUNTYWIDE,Atlantic County,LOCAL AID,Various,Various,Various,Various,"Damage to Traffic Signals/Signage on Federal Aid Routes in Atlantic City at 9 intersections. Madison(Baltic) Ave at Connecticut (MP 0.39), Pacific Ave at Massachusetts (MP 2.28) and Connecticut ) MP 2.20, Atlantic Ave at Massachusetts (MP 7.83), and Conne",Storm damage to traffic signal equipment and signs at various intersections in Atlantic City. Damage consisted of fallen and broken signal equipment. Repair consisted of replacing signal heads and signs as well as cleaning controller cabinets of water and mud., ,,330310.72,330310.72,330310.72,330310.72,330310.72,,330310.72,0.00,330310.72,330310.72
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-ATL2,Repair and replace damaged traffic signal components., ,ATLANTIC,"VENTNOR CITY, ATLANTIC CITY",Atlantic County,LOCAL AID,Various,Various,Various,Various,Various Locations,Damage to traffic signals, ,,65900.00,,,,65900.00,,65900.00,0.00,65900.00,65900.00
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-ATL3,Repair and replacement of electrical and mechanical components of bridge., ,ATLANTIC,MULLICA TOWNSHIP,Atlantic County,LOCAL AID,CR 563,Various,24.19,24.19,"Green Bank Bridge, Egg Harbor-Green Bank Road Ave @ MP 24.19",Damage to electrical and mechanical components of bridge., ,,36953.24,,,,36953.24,,36953.24,0.00,36953.24,36953.24
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-ATL4,Repair to traffic signals, ,ATLANTIC,BUENA BOROUGH,Atlantic County,LOCAL AID,Central Ave,Various,Various,Various,Various Locations,Damage to traffic signals, ,,13000.00,,,,13000.00,,13000.00,0.00,13000.00,13000.00
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-ATL7,Repair to traffic signals, ,ATLANTIC,BRIGANTINE CITY,Atlantic County,LOCAL AID,CR-638,Various,Various,Various,"County Route 638, Brigantine Blvd. Mile Post 2.57",Damage to traffic signals, ,,5400.00,,,,5400.00,,5400.00,0.00,5400.00,5400.00
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-ATL8,Repair to traffic signals, ,ATLANTIC,SOMERS POINT CITY,Atlantic County,LOCAL AID,Bethel Rd,Various,Various,MP 0.37,"Bethel Road, Mile Post 0.37",Damage to traffic signals, ,,7900.00,7900.00,7900.00,7900.00,7900.00,,7900.00,0.00,7900.00,7900.00
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-ATL9,Repair to abutment bulkhead., ,ATLANTIC,"LONGPORT BOROUGH, EGG HARBOR TOWNSHIP",Atlantic County,LOCAL AID,CR-629,Various,Various,Various,"JFK Bridge #1EH048, Longport-Somers Point Blvd. County Route 629, Mile Post 0.00",Sink holes formed at the northern end of east abutment bulkhead., ,,16000.00,16000.00,16000.00,16000.00,16000.00,,16000.00,0.00,16000.00,16000.00
Completed,08/01/2015,US DOT,Local Aid Emergency Relief Program,"Emergency Relief (ER) Program is federally funded program put in place to help the State of New Jersey receive assistance for overwhelming natural disasters of catastrophic failure resulting in extraordinary damages to the conditions of the state's transportation infrastructure. The FHWA offers funding for this program provided the damage is caused by natural disasters including but not limited to floods, hurricanes, earthquakes, tornados, tidal waves, severe storms or landslides, or catastrophic failure.",NJ13-01-BER1,Repair and replacement of electrical and mechanical components of bridge., ,BERGEN,"BOGOTA BOROUGH, HACKENSACK CITY",Bergen County,LOCAL AID,CR 12,Various,5.43,5.43,Court Street Bridge @ MP 5.43 - Structure # 020004A,Rehabilitation/replacement of electrical and mechanical equipment submerged and damaged during Hurricane Sandy Storm surge., ,04/26/2013,1303186.47,,,,1303186.47,,1303186.47,0.00,1303186.47,1303186.47
