As Of Date,Federal Agency,Funding Source,Program Description,Project,Project Description,Project Type,County,Municipality,Vendor,Obligated Amount,Obligated Date,Disbursed Amount,Disbursed Date
09/30/2018,FTA,PTER,"Public Transportation Emergency Relief program helps state and public transportation systems pay for protecting, repairing, and/or replacing equipment and facilities that may suffer or have suffered serious damage as a result of an emergency, including natural disasters such as floods, hurricanes, and tornadoes.",Henderson Street Substation Repairs,"This project involves the design and construction of the replacement Henderson Street Substation including switch gear, transformers, and all other associated power cable, devices, and controls.",Recovery Repairs,HUDSON,HOBOKEN CITY,various,21300000.00,08/27/2015,2887752.00,
09/30/2018,FTA,PTER,"Public Transportation Emergency Relief program helps state and public transportation systems pay for protecting, repairing, and/or replacing equipment and facilities that may suffer or have suffered serious damage as a result of an emergency, including natural disasters such as floods, hurricanes, and tornadoes.",Delco Lead Storage and Inspection Facility,"The Delco Lead Project will reduce the risk of damage to rail equipment resulting from extreme weather events, and
facilitate the rapid resumption of service after storms have passed. Located along the Northeast Corridor (NEC), the Delco Lead will provide resilient storage for rail cars. The Service and Inspection Facility (S&I) will allow the rapid inspection of rail equipment and its return to revenue service following a major storm.",Resiliency,MIDDLESEX,NEW BRUNSWICK CITY,various,184493910.00,,7933148.00,
09/30/2018,FTA,PTER,"Public Transportation Emergency Relief program helps state and public transportation systems pay for protecting, repairing, and/or replacing equipment and facilities that may suffer or have suffered serious damage as a result of an emergency, including natural disasters such as floods, hurricanes, and tornadoes.",Bay Head Yard Substation Repairs,"This project involves the design and construction of a replacement Bay Head Yard Substation including switch-gear, transformers and all other associated power cable, devices, and controls.",Recovery Repairs,OCEAN,BAY HEAD BOROUGH,various,23700000.00,08/27/2015,3292343.00,
09/30/2018,FTA,PTER,"Public Transportation Emergency Relief program helps state and public transportation systems pay for protecting, repairing, and/or replacing equipment and facilities that may suffer or have suffered serious damage as a result of an emergency, including natural disasters such as floods, hurricanes, and tornadoes.","Hoboken City Yard & Terminal; Repair Work Completed or Initiated Prior to January 29, 2013","These projects contributed significantly towards NJ TRANSIT's ability to restore service to pre-Sandy levels.  The funds allowed for short-term repairs to critical NJ TRANSIT infrastructure, including bridge controls, electric junction boxes, power distribution and electronic traction systems, track right-of-way, bridges, and stations.",Recovery Repairs,HUDSON,HOBOKEN CITY,various,2141069.00,05/02/2013,2141069.00,
09/30/2018,FTA,PTER,"Public Transportation Emergency Relief program helps state and public transportation systems pay for protecting, repairing, and/or replacing equipment and facilities that may suffer or have suffered serious damage as a result of an emergency, including natural disasters such as floods, hurricanes, and tornadoes.",Hoboken Terminal House Power Repair,"This project involves the design and construction for the repair and replacement of the Hoboken Terminal House Power Supply including switch gear, transformers and associated relays, circuit breakers, power cables, electrical system components, and ancillary equipment.",Recovery Repairs & Resiliency,HUDSON,HOBOKEN CITY,various,24058978.00,08/27/2015,2764238.00,
09/30/2018,FTA,PTER,"Public Transportation Emergency Relief program helps state and public transportation systems pay for protecting, repairing, and/or replacing equipment and facilities that may suffer or have suffered serious damage as a result of an emergency, including natural disasters such as floods, hurricanes, and tornadoes.","Hudson-Bergen Light Rail; Repair Work Completed or Initiated Prior to January 29, 2013","These projects contributed significantly towards NJ TRANSIT's ability to restore service to pre-Sandy levels.  The funds allowed for short-term repairs to critical NJ TRANSIT infrastructure, including bridge controls, electric junction boxes, power distribution and electronic traction systems, track right-of-way, bridges, and stations.",Recovery Repairs,HUDSON,COUNTYWIDE,various,6045175.00,05/02/2013,6045175.00,
09/30/2018,FTA,PTER,"Public Transportation Emergency Relief program helps state and public transportation systems pay for protecting, repairing, and/or replacing equipment and facilities that may suffer or have suffered serious damage as a result of an emergency, including natural disasters such as floods, hurricanes, and tornadoes.",Long Slip Fill and Rail Enhancement,"The Long Slip project involves the filling of the Long Slip and the construction of new tracks on the filled area to serve ADA-accessible, high-level boarding platforms as well as the construction of a passenger/rail personnel facility. The elevated position of these tracks and platforms
will improve commuter rail service to and from Hoboken Yard in advance of and immediately after a storm or other
event, will allow for supplemental service to and from Hoboken Terminal during service disruptions elsewhere
on the system, and will enable more efficient train operations under normal operating conditions.
The filling of Long Slip will provide ancillary benefits of additional surge protection of Yard equipment and infrastructure and reduce the potential of lesser storm surges that occur on a more frequent basis.",Resiliency,HUDSON,HOBOKEN CITY,various,88903190.00,,9541343.00,
09/30/2018,FTA,PTER,"Public Transportation Emergency Relief program helps state and public transportation systems pay for protecting, repairing, and/or replacing equipment and facilities that may suffer or have suffered serious damage as a result of an emergency, including natural disasters such as floods, hurricanes, and tornadoes.","MMC Maintenance Facility; Repair Work Completed or Initiated Prior to January 29, 2013","These projects contributed significantly towards NJ TRANSIT's ability to restore service to pre-Sandy levels.  The funds allowed for short-term repairs to critical NJ TRANSIT infrastructure, including bridge controls, electric junction boxes, power distribution and electronic traction systems, track right-of-way, bridges, and stations.  Equipment at the MMC was repaired or replaced.",Recovery Repairs,HUDSON,KEARNY TOWN,various,9481009.00,05/02/2013,9481009.00,
09/30/2018,FTA,PTER,"Public Transportation Emergency Relief program helps state and public transportation systems pay for protecting, repairing, and/or replacing equipment and facilities that may suffer or have suffered serious damage as a result of an emergency, including natural disasters such as floods, hurricanes, and tornadoes.","Mason & Building 9 Substations; Repair Work Completed or Initiated Prior to January 29, 2013","These projects contributed significantly towards NJ TRANSIT's ability to restore service to pre-Sandy levels.  The funds allowed for short-term repairs to critical NJ TRANSIT infrastructure, including bridge controls, electric junction boxes, power distribution and electronic traction systems, track right-of-way, bridges, and stations.",Recovery Repairs,HUDSON,KEARNY TOWN,various,5449393.00,05/02/2013,5449393.00,
09/30/2018,FTA,PTER,"Public Transportation Emergency Relief program helps state and public transportation systems pay for protecting, repairing, and/or replacing equipment and facilities that may suffer or have suffered serious damage as a result of an emergency, including natural disasters such as floods, hurricanes, and tornadoes.","Misc. & Police Equipment; Repair Work Completed or Initiated Prior to January 29, 2013","These projects contributed significantly towards NJ TRANSIT's ability to restore service to pre-Sandy levels.  The funds allowed for short-term repairs to critical NJ TRANSIT infrastructure, including bridge controls, electric junction boxes, power distribution and electronic traction systems, track right-of-way, bridges, and stations.  Police equipment damaged by Sandy were repaired and/or replaced.",Recovery Repairs,STATEWIDE,STATEWIDE,various,440232.00,05/02/2013,440232.00,
