Standard Route Identifier,Annual Average Daily Traffic
12000606__,"83,507"
17000678__,721
00000070__,"4,937,988"
15240010__,"2,412"
00000031__,"1,580,991"
16081455__,"65,257"
04091983__,"1,516"
03000673__,"61,628"
07111792__,"20,948"
12000653__,"6,200"
12000693__,"19,479"
03000622__,"9,219"
05071036__,494
00000046__,"5,159,221"
14000608__,"20,239"
19171005__,37
05021004__,0
03091065__,"3,749"
01031188__,"22,018"
03241095__,
20000615__,"102,028"
09061553__,"8,613"
01211145__,"32,634"
08171016__,421
00000322B_,"44,750"
14000623__,"69,716"
17081110__,"1,383"
12102054__,"54,478"
11031014__,16
15000603__,"4,879"
11031983__,"9,389"
020001271_,"5,293"
13281019__,"1,022"
16000610__,"4,381"
00000536S_,"163,965"
09000635__,"15,121"
04000660__,"3,630"
01211002__,473
00000509S_,"71,020"
13312100__,"10,353"
00000295__,"6,763,490"
21000623__,"33,963"
06000703__,"1,007"
03071023__,472
12000656__,"49,276"
21000602__,"4,018"
07000616__,"6,669"
10000615__,"4,983"
21071023__,"6,877"
11000616__,"49,063"
17000601__,"13,698"
11000647__,"3,085"
04000702__,"23,064"
06000647__,"2,010"
00000033B_,"169,295"
08000639__,"168,522"
00000143__,"7,263"
06141032__,"10,090"
06141022__,"11,127"
04231057__,123
11031997__,"6,246"
04000686__,"33,519"
16111184__,"3,629"
16000641__,"18,074"
01071004__,192
13391282__,"6,005"
16000653__,"22,956"
06141030__,"85,613"
15062138__,"26,882"
01000666__,"38,373"
10071046__,"1,112"
01000655__,"25,305"
04000740__,"4,150"
04000720__,"32,604"
06000627__,"16,761"
07000649__,"93,120"
09000699__,"14,515"
12251872__,"9,291"
03000614__,"21,774"
04000658__,"19,562"
15000636__,"78,538"
04081613__,"14,542"
16000638__,"8,083"
08000625__,855
07000620__,"6,965"
09071160__,"22,853"
13000003__,"111,679"
11131322__,694
17000607__,"16,726"
04271004__,"1,043"
11011052__,"2,579"
13000040__,"17,381"
01000685__,"19,978"
02701058__,676
14000643__,"17,358"
21000677__,"7,227"
02000101__,"18,129"
16000692__,"43,270"
03191076__,385
04211058__,"5,209"
03041036__,"1,063"
05000658__,"1,815"
12000674__,"25,310"
14000667__,"3,733"
17051031__,177
04371001__,231
15000641__,"44,321"
17000639__,"2,074"
13051001__,"1,161"
10000633__,"7,303"
15000634__,"5,153"
02000081__,"40,379"
16141436__,330
11000644__,"27,956"
04000647__,"5,026"
13211015__,"1,010"
08000655__,"118,485"
00000524S_,"64,701"
07000606__,"8,008"
09000675__,"14,584"
12171603__,"27,971"
00000037__,"1,687,328"
08000621__,"80,354"
09061750__,"9,452"
20000610__,"54,737"
02461317__,"2,273"
18000621__,"27,560"
15330010__,"9,938"
21141014__,"1,401"
12000649__,"112,857"
00000526A_,"5,256"
04371002__,678
02151641__,"2,818"
04000684__,"3,758"
12081014__,449
04081623__,302
18051007__,
08051052__,"2,755"
11131418__,"24,814"
020000412_,"5,937"
11031999__,"11,943"
17000614__,"1,113"
14381102__,"43,256"
15071983__,307
04321055__,"1,355"
08111060__,"1,853"
05000601__,"25,893"
21221010__,850
01151101__,992
01000640__,"12,817"
04000681__,"10,669"
19000637__,"4,500"
07000618__,"7,649"
08051032__,"3,922"
000005611_,"2,570"
15141495__,"3,618"
18021148__,619
03031038__,"1,463"
05000614__,0
00000167__,909
05000626__,"92,293"
19131009__,995
19021014__,"6,393"
02000S801_,"15,214"
03351048__,20
00000322__,"2,355,352"
19000609__,"7,341"
04000747__,"4,188"
19081037__,"2,661"
04000718__,972
03131206__,"5,377"
04231059__,239
09061691__,"35,204"
12041093__,"11,033"
01000654__,"16,488"
09111120__,"4,632"
00000140__,"47,213"
03051142__,"24,336"
