Station Number,Standard Route Identifier,Mile Marker,Latitude,Longitude,County Code,Municipal Code,County,Municipality,Annual Average Daily Traffic,Annual Average Daily Traffic North/East (See Direction Field),Annual Average Daily Traffic South/West (See Direction Field),Year,Station Type,Direction
1-1-033,00000080__,40.6,40.87742,-74.46798,14,1429,Morris,Parsippany-Troy Hills Twp,147452,75110,72342,01/01/2013,Continous Volume,East/West
1-1-034,00000046__,44.8,40.87893,-74.44762,14,1429,Morris,Parsippany-Troy Hills Twp,26062,13993,12069,01/01/2014,Continous Volume,East/West
1-1-033,00000080__,40.6,40.87742,-74.46798,14,1429,Morris,Parsippany-Troy Hills Twp,146167,74256,71911,01/01/2014,Continous Volume,East/West
1-1-034,00000046__,44.8,40.87893,-74.44762,14,1429,Morris,Parsippany-Troy Hills Twp,26017,0,0,01/01/2010,Continous Volume,East/West
1-1-034,00000046__,44.8,40.87893,-74.44762,14,1429,Morris,Parsippany-Troy Hills Twp,25282,13514,11768,01/01/2015,Continous Volume,East/West
1-1-033,00000080__,40.6,40.87742,-74.46798,14,1429,Morris,Parsippany-Troy Hills Twp,148807,76013,72794,01/01/2015,Continous Volume,East/West
1-1-033,00000080__,40.6,40.87742,-74.46798,14,1429,Morris,Parsippany-Troy Hills Twp,0,0,78946,01/01/2009,Continous Volume,West
1-1-033,00000080__,40.6,40.87742,-74.46798,14,1429,Morris,Parsippany-Troy Hills Twp,,0,79309,01/01/2010,Continous Volume,West
1-1-034,00000046__,44.8,40.87893,-74.44762,14,1429,Morris,Parsippany-Troy Hills Twp,26367,0,0,01/01/2011,Weigh in Motion,East/West
1-1-033,00000080__,40.6,40.87742,-74.46798,14,1429,Morris,Parsippany-Troy Hills Twp,151064,77536,73528,01/01/2011,Weigh in Motion,East/West
1-4-649,14291036__,0.12,40.861214,-74.467865,14,1429,Morris,Parsippany-Troy Hills Twp,326,146,180,01/01/2014,Volume 48hrs,East/West
131404,00000046__,46.12,40.871702,-74.424844,14,1429,Morris,Parsippany-Troy Hills Twp,25160,13242,11918,01/01/2014,Volume 48hrs,East/West
141412,00000080__,43.537,40.864428,-74.419287,14,1429,Morris,Parsippany-Troy Hills Twp,103879,49447,54432,01/01/2015,Volume 48hrs,East/West
1-7-516,00000280__,1.33,40.85131422,-74.3553343,14,1429,Morris,Parsippany-Troy Hills Twp,56032,27913,28119,01/01/2015,Volume 48hrs,East/West
1-7l448,00000080__,45.346,40.860254,-74.385167,14,1429,Morris,Parsippany-Troy Hills Twp,79264,38110,41154,01/01/2015,Volume 48hrs,East/West
1-7E448,00000080__,45.346,40.860254,-74.385167,14,1429,Morris,Parsippany-Troy Hills Twp,93240,47185,46055,01/01/2015,Volume 48hrs,East/West
1-7-448,00000080__,45.346,40.860254,-74.385167,14,1429,Morris,Parsippany-Troy Hills Twp,172504,85295,87209,01/01/2015,Volume 48hrs,East/West
141413e,00000080__,44.588,40.860526,-74.399721,14,1429,Morris,Parsippany-Troy Hills Twp,100058,49636,50422,01/01/2015,Volume 48hrs,East/West
1-4-642,14291403__,0.76,40.878376,-74.37664,14,1429,Morris,Parsippany-Troy Hills Twp,1749,791,958,01/01/2013,Volume 48hrs,East/West
121498,00000280__,0.63,40.858444,-74.36466,14,1429,Morris,Parsippany-Troy Hills Twp,44795,22805,21990,01/01/2013,Volume 48hrs,East/West
111436,14000630__,0.3,40.8666109,-74.417640678,14,1429,Morris,Parsippany-Troy Hills Twp,14754,7348,7406,01/01/2015,Volume 48hrs,East/West
141413l,00000080__,44.588,40.860526,-74.399721,14,1429,Morris,Parsippany-Troy Hills Twp,87336,43705,43631,01/01/2015,Volume 48hrs,East/West
1-7-453,00000080__,43.15,40.865227,-74.426423,14,1429,Morris,Parsippany-Troy Hills Twp,136017,69058,66959,01/01/2009,Volume 48hrs,East/West
1-8-227,14231563__,1.65,40.837144,-74.504119,14,1429,Morris,Parsippany-Troy Hills Twp,2516,1284,1232,01/01/2009,Volume 48hrs,East/West
141414,00000080__,46.21,40.85872897,-74.36884168,14,1429,Morris,Parsippany-Troy Hills Twp,100823,53493,47330,01/01/2014,Volume 48hrs,East/West
141413,00000080__,44.588,40.860526,-74.399721,14,1429,Morris,Parsippany-Troy Hills Twp,187394,93341,94053,01/01/2015,Volume 48hrs,East/West
1-7-516,00000280__,1.33,40.85131422,-74.3553343,14,1429,Morris,Parsippany-Troy Hills Twp,56603,28985,27618,01/01/2011,Volume 48hrs,East/West
1-7E448,00000080__,45.346,40.860254,-74.385167,14,1429,Morris,Parsippany-Troy Hills Twp,0,45067,41507,01/01/2011,Volume 48hrs,East/West
1-7l448,00000080__,45.346,40.860254,-74.385167,14,1429,Morris,Parsippany-Troy Hills Twp,0,34162,38065,01/01/2011,Volume 48hrs,East/West
1-7-448,00000080__,45.346,40.860254,-74.385167,14,1429,Morris,Parsippany-Troy Hills Twp,158825,79242,79583,01/01/2011,Volume 48hrs,East/West
111459,14000650__,1.996,40.833122,-74.534012,14,1429,Morris,Parsippany-Troy Hills Twp,8491,4195,4296,01/01/2011,Volume 48hrs,East/West
1-7-263,00000010__,11.73,40.84155,-74.459145,14,1429,Morris,Parsippany-Troy Hills Twp,67355,34594,32761,01/01/2010,Volume 48hrs,East/West
141411,00000080__,42.43,40.86625523,-74.44026312,14,1429,Morris,Parsippany-Troy Hills Twp,123544,60622,62922,01/01/2015,Volume 48hrs,East/West
1-4-642,14291403__,0.76,40.878376,-74.37664,14,1429,Morris,Parsippany-Troy Hills Twp,1743,715,1028,01/01/2010,Volume 48hrs,East/West
1-4-627,14291577__,1.36,40.843864,-74.5097,14,1429,Morris,Parsippany-Troy Hills Twp,2521,1289,1232,01/01/2009,Volume 48hrs,East/West
1-4-225,00000202__,53.01,40.89103,-74.41569,14,1429,Morris,Parsippany-Troy Hills Twp,8738,2630,6108,01/01/2010,Volume 48hrs,North/South
1-4-224,00000202__,51.69,40.873181,-74.423016,14,1429,Morris,Parsippany-Troy Hills Twp,13675,6416,7259,01/01/2010,Volume 48hrs,North/South
101410,00000287__,40.24,40.84133215,-74.43191675,14,1429,Morris,Parsippany-Troy Hills Twp,148120,74234,73886,01/01/2011,Volume 48hrs,North/South
1-5-064,00000287__,43.182,40.880514,-74.419526,14,1429,Morris,Parsippany-Troy Hills Twp,96692,47619,49073,01/01/2011,Volume 48hrs,North/South
141417,00000287__,42.42,40.869869,-74.418579,14,1429,Morris,Parsippany-Troy Hills Twp,103167,53434,49733,01/01/2014,Volume 48hrs,North/South
1-4-627,14291577__,1.36,40.843864,-74.5097,14,1429,Morris,Parsippany-Troy Hills Twp,2816,1454,1362,01/01/2012,Volume 48hrs,North/South
1-4-223,00000202__,51.23,40.866938,-74.423038,14,1429,Morris,Parsippany-Troy Hills Twp,15579,8178,7401,01/01/2012,Volume 48hrs,North/South
1-4-226,00000202__,53.55,40.893241,-74.410394,14,1429,Morris,Parsippany-Troy Hills Twp,3965,2578,1387,01/01/2012,Volume 48hrs,North/South
091405,00000053__,2.6,40.865561,-74.471841,14,1429,Morris,Parsippany-Troy Hills Twp,12875,6598,6277,01/01/2012,Volume 48hrs,North/South
1p6d901,00000287__,42.48,40.87055,-74.41904,14,1429,Morris,Parsippany-Troy Hills Twp,92020,45556,46464,01/01/2009,Volume 48hrs,North/South
1-4-226,00000202__,53.55,40.893241,-74.410394,14,1429,Morris,Parsippany-Troy Hills Twp,3846,2529,1317,01/01/2009,Volume 48hrs,North/South
1-4-223,00000202__,51.23,40.866938,-74.423038,14,1429,Morris,Parsippany-Troy Hills Twp,16067,8624,7443,01/01/2009,Volume 48hrs,North/South
111462,14000654__,0.08,40.874108562,-74.437628151,14,1429,Morris,Parsippany-Troy Hills Twp,13400,7058,6342,01/01/2015,Volume 48hrs,North/South
141416,00000287__,41.29,40.85479609,-74.422612015,14,1429,Morris,Parsippany-Troy Hills Twp,132181,72750,59431,01/01/2014,Volume 48hrs,North/South
111463,14000654__,0.46,40.868723,-74.439238,14,1429,Morris,Parsippany-Troy Hills Twp,18375,9094,9281,01/01/2011,Volume 48hrs,North/South
1-4-224,00000202__,51.69,40.873181,-74.423016,14,1429,Morris,Parsippany-Troy Hills Twp,14063,6781,7282,01/01/2013,Volume 48hrs,North/South
1-5-411,00000511__,5.98,40.86207,-74.42631,14,1429,Morris,Parsippany-Troy Hills Twp,16910,8088,8822,01/01/2011,Volume 48hrs,North/South
1-4-649,14291036__,0.12,40.861214,-74.467865,14,1429,Morris,Parsippany-Troy Hills Twp,371,183,188,01/01/2011,Volume 48hrs,North/South
1-4-222,00000202__,50.98,40.86601,-74.426922,14,1429,Morris,Parsippany-Troy Hills Twp,15449,8930,6519,01/01/2011,Volume 48hrs,North/South
1-4-221,00000202__,50.08,40.863823,-74.4428,14,1429,Morris,Parsippany-Troy Hills Twp,23134,10509,12625,01/01/2011,Volume 48hrs,North/South
1-4-225,00000202__,53.01,40.89103,-74.41569,14,1429,Morris,Parsippany-Troy Hills Twp,8770,2360,6410,01/01/2013,Volume 48hrs,North/South
111444,14000637__,2.02,40.843052,-74.39288,14,1429,Morris,Parsippany-Troy Hills Twp,7965,4106,3859,01/01/2011,Volume 48hrs,North/South
111436,14000630__,0.3,40.8666109,-74.417640678,14,1429,Morris,Parsippany-Troy Hills Twp,17733,8514,9219,01/01/2011,Volume 48hrs,North/South
111462,14000654__,0.08,40.874108562,-74.437628151,14,1429,Morris,Parsippany-Troy Hills Twp,17604,9532,8072,01/01/2011,Volume 48hrs,North/South
101410,00000287__,40.24,40.84133215,-74.43191675,14,1429,Morris,Parsippany-Troy Hills Twp,145401,74291,71110,01/01/2015,Volume 48hrs,North/South
1-5-064,00000287__,43.182,40.880514,-74.419526,14,1429,Morris,Parsippany-Troy Hills Twp,85304,41231,44073,01/01/2015,Volume 48hrs,North/South
1-4-222,00000202__,50.98,40.86601,-74.426922,14,1429,Morris,Parsippany-Troy Hills Twp,19067,11028,8039,01/01/2014,Volume 48hrs,North/South
1-4-221,00000202__,50.08,40.863823,-74.4428,14,1429,Morris,Parsippany-Troy Hills Twp,26525,13124,13401,01/01/2014,Volume 48hrs,North/South
111463,14000654__,0.46,40.868723,-74.439238,14,1429,Morris,Parsippany-Troy Hills Twp,19562,9610,9952,01/01/2014,Volume 48hrs,North/South
11n165r,00000080__,46,40.86,-74.36732,14,1429,Morris,Parsippany-Troy Hills Twp,0,0,9771,01/01/2012,ramp,West
11n149r,00000080__,46,40.86103,-74.36797,14,1429,Morris,Parsippany-Troy Hills Twp,0,0,5378,01/01/2012,ramp,West
11n104r,00000080__,46.5,40.86115,-74.36552,14,1429,Morris,Parsippany-Troy Hills Twp,0,0,4204,01/01/2012,ramp,West
11n102r,00000080__,42.6,40.86671,-74.43835,14,1429,Morris,Parsippany-Troy Hills Twp,0,0,7013,01/01/2012,ramp,West
11n101r,00000080__,42.4,40.86691,-74.44059,14,1429,Morris,Parsippany-Troy Hills Twp,0,0,5566,01/01/2012,ramp,West
11n148r,00000080__,45,40.86105,-74.386215,14,1429,Morris,Parsippany-Troy Hills Twp,0,0,7407,01/01/2012,ramp,West
12n073r,00000280__,1.5,40.8478,-74.35191,14,1429,Morris,Parsippany-Troy Hills Twp,,,1472,01/01/2013,ramp,West
12n050r,00000280__,1.7,40.84685,-74.35092,14,1429,Morris,Parsippany-Troy Hills Twp,0,0,8966,01/01/2012,ramp,West
11n128r,00000080__,44.1,40.865913,-74.415215,14,1429,Morris,Parsippany-Troy Hills Twp,,,39833,01/01/2013,ramp,West
11n124r,00000080__,44.1,40.866158,-74.414764,14,1429,Morris,Parsippany-Troy Hills Twp,,,56117,01/01/2013,ramp,West
11n130r,00000080__,44.1,40.866207,-74.415306,14,1429,Morris,Parsippany-Troy Hills Twp,,,5552,01/01/2013,ramp,West
11n147r,00000080__,43.7,40.86529,-74.417694,14,1429,Morris,Parsippany-Troy Hills Twp,,,8394,01/01/2013,ramp,West
11n103r,00000080__,44.1,40.866802,-74.4168,14,1429,Morris,Parsippany-Troy Hills Twp,,,6192,01/01/2013,ramp,West
13n079r,00000010__,0.04,40.840176,-74.451645,14,1429,Morris,Parsippany-Troy Hills Twp,,,746,01/01/2013,ramp,West
12n152r,00000287__,43.7,40.88673,-74.41731,14,1429,Morris,Parsippany-Troy Hills Twp,0,0,3578,01/01/2012,ramp,South
12n151r,00000287__,42.7,40.874817,-74.42172,14,1429,Morris,Parsippany-Troy Hills Twp,0,0,4381,01/01/2012,ramp,South
12n135r,00000287__,42.9,40.875595,-74.421005,14,1429,Morris,Parsippany-Troy Hills Twp,0,0,4534,01/01/2012,ramp,South
11n144r,00000080__,42.6,40.86651,-74.43607,14,1429,Morris,Parsippany-Troy Hills Twp,0,0,1989,01/01/2012,ramp,South
11n143r,00000080__,42.1,40.86802,-74.44036,14,1429,Morris,Parsippany-Troy Hills Twp,0,0,757,01/01/2012,ramp,South
12n150r,00000287__,41.1,40.852043,-74.4251,14,1429,Morris,Parsippany-Troy Hills Twp,0,0,5843,01/01/2012,ramp,South
12n134r,00000287__,41.2,40.85251,-74.42487,14,1429,Morris,Parsippany-Troy Hills Twp,0,0,2751,01/01/2012,ramp,South
